family,order_1,order_2,order_3,order_4,order_5,order_6
1,1,5,92,168,,
1,2,70,84,,,
1,3,157,,,,
1,4,47,53,130,162,
1,6,58,72,160,,
1,7,44,61,153,,
1,8,110,33,166,174,
1,9,65,97,163,,
1,10,42,63,,,
1,11,19,57,99,,
1,12,109,,,,
1,13,132,,,,
1,14,85,89,93,124,
1,15,121,,,,
1,16,128,,,,
1,17,49,79,115,156,165
1,18,55,103,113,173,
1,20,104,142,,,
1,21,78,155,,,
1,22,144,172,,,
1,23,106,138,,,
1,24,81,148,,,
1,25,123,,,,
1,26,34,150,118,112,
1,27,120,,,,
1,28,32,86,122,,
1,29,98,143,,,
1,116,105,30,119,133,
1,31,94,131,137,158,
1,35,48,102,171,,
1,36,136,145,170,,
1,37,139,,,,
1,38,50,68,82,91,146
1,39,135,,,,
1,40,114,,,,
1,41,100,134,169,,
1,43,95,126,127,147,
1,117,101,87,45,151,
1,46,54,140,,,
1,51,56,67,88,154,
1,52,80,152,,,
1,59,64,125,161,,
1,60,83,,,,
1,62,74,111,,,
1,66,71,129,159,,
1,69,107,164,175,,
1,73,76,108,149,167,
1,75,90,,,,
1,77,96,141,,,
